Identifier,Dhatupatha,Dhatu,Pratyaya,Artha,Gana,Pad,Karmak,It_Sign,English_Meaning,Hindi_Meaning
०६.००५२,१३२६ इत्यस्य पाठभेदः),जुन्,जुनँ,गतौ,बन्धने,च,,तुदादिः,"जुन्,जुनँ,गतौ,बन्धने,च,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,","to go, to bind"
०६.००५३,१३२७),मृड्,मृडँ,सुखने,,तुदादिः,परस्मैपदी,सकर्मकः,"मृड्,मृडँ,सुखने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to make happy,to rejoice,to be happy)","सुख देना, प्रसन्न करना, सुखी होना"
०६.००५४,१३२८),पृड्,पृडँ,सुखने,,तुदादिः,परस्मैपदी,सकर्मकः,"पृड्,पृडँ,सुखने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to make happy,to rejoice,to be happy)",सुख देना
०६.००५५,१३२९),पृण्,पृणँ,प्रीणने,,तुदादिः,परस्मैपदी,सकर्मकः,"पृण्,पृणँ,प्रीणने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to be happy, to be contented)","आनन्द करना, संतोष पाना"
०६.००५६,१३३०),वृण्,वृणँ,प्रीणने,,तुदादिः,परस्मैपदी,सकर्मकः,"वृण्,वृणँ,प्रीणने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to be happy, to be contented)","आनन्द करना, संतोष पाना"
०६.००५७,१३३१),मृण्,मृणँ,हिंसायाम्,,तुदादिः,परस्मैपदी,सकर्मकः,"मृण्,मृणँ,हिंसायाम्,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill)",मार डालना
०६.००५८,१३३२),तुण्,तुणँ,कौटिल्ये,,तुदादिः,परस्मैपदी,अकर्मकः,"तुण्,तुणँ,कौटिल्ये,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to be crooked, to tilt, to curve, to bend, to ill-behave)","टेढ़ा होना, वक्र होना, बुरी निति से वर्तना"
०६.००५९,१३३३),पुण्,पुणँ,कर्मणि,शुभे,,तुदादिः,परस्मैपदी,"पुण्,पुणँ,कर्मणि,शुभे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to be pure, to be virtuous,to do a holy work)","पवित्र होना, शुद्ध होना, धार्मिक कार्य करना"
०६.००६०,१३३४),मुण्,मुणँ,प्रतिज्ञाने,,तुदादिः,परस्मैपदी,सकर्मकः,"मुण्,मुणँ,प्रतिज्ञाने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to promise, to vow)","प्रण करना, वचन देना"
०६.००६१,१३३५),कुण्,कुणँ,शब्दोपकरणयोः,,तुदादिः,परस्मैपदी,अकर्मकः,"कुण्,कुणँ,शब्दोपकरणयोः,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to sound, to gift, to support financially, to take care)","शब्द करना, दानादिक से संरक्षण करना, संभालना"
०६.००६२,१३३६),शुन्,शुनँ,गतौ,,तुदादिः,परस्मैपदी,सकर्मकः,"शुन्,शुनँ,गतौ,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to go)",जाना
०६.००६३,१३३७),द्रुण्,द्रुणँ,हिंसागतिकौटिल्येषु,,तुदादिः,परस्मैपदी,सकर्मकः,"द्रुण्,द्रुणँ,हिंसागतिकौटिल्येषु,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to kill, to destroy, to bend, to curve, to tilt, to go)","हिंसा करना, टेढ़ा होना, वक्र होना, जाना"
०६.००६४,१३३८),घुण्,घुणँ,भ्रमणे,,तुदादिः,परस्मैपदी,अकर्मकः,"घुण्,घुणँ,भ्रमणे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to move, to roam around)","घूमना, भ्रमण करना"
०६.००६५,१३३९),घूर्ण्,घूर्णँ,भ्रमणे,,तुदादिः,परस्मैपदी,अकर्मकः,"घूर्ण्,घूर्णँ,भ्रमणे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to move, to roam around)",घूमना
०६.००६६,१३४०),सुर्,षुरँ,ऐश्वर्यदीप्त्योः,,तुदादिः,परस्मैपदी,अकर्मकः,"सुर्,षुरँ,ऐश्वर्यदीप्त्योः,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to rule, to be powerful, to shine)","ऐश्वर्यवान होना, प्रकाशित होना"
०६.००६७,१३४१),कुर्,कुरँ,शब्दे,,तुदादिः,परस्मैपदी,अकर्मकः,"कुर्,कुरँ,शब्दे,, तुदादिः, परस्मैपदी ,अकर्मकः ,सेट्  ,(to sound)",शब्द करना
०६.००६८,१३४२),खुर्,खुरँ,छेदने,खण्डने,च,,तुदादिः,"खुर्,खुरँ,छेदने,खण्डने,च,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to cut, to break)",काटना
०६.००६९,१३४३),मुर्,मुरँ,संवेष्टने,परिवेष्टने,च,,तुदादिः,"मुर्,मुरँ,संवेष्टने,परिवेष्टने,च,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to surround, to cover)","घेरना, लपेटना"
०६.००७०,१३४४),क्षुर्,क्षुरँ,विलेखने,,तुदादिः,परस्मैपदी,सकर्मकः,"क्षुर्,क्षुरँ,विलेखने,, तुदादिः, परस्मैपदी ,सकर्मकः ,सेट्  ,(to cut, to split, to scratch, to divide, to delineate)","कतरना, चीरना, छेड़ना, लकीर खींचना"
